ID da Mensagem;Tipo da Mensagem;ID Chatbot;ID da Mensagem no Chatbot;ID do Chatbot de Referência;ID do Usuário Origem;ID do Contato Origem;ID do Usuário Destino;ID do COntato Destino;Tipo do Conteúdo;URL;Polaridade;Tempo de Foco;Visualizações;Favoritada;Chat Aberto;Data de Registro;Data de Envio;Conteúdo
1839;Mensagem Alvo;13;3;13;0;38;13;;Textual;;0.1007;0.0;0;;true;10/05/2021 16:03:38;10/05/2021 16:03:38;Vamos para o que importa, né ?! (Emoji Sem Plavras) <br/> A notícia que mais impactou nos portais foi a seguinte: <br/> Chacina do Jacarezinho no Rio de Janeiro. Um policial que faz este tipo de abordagem passa a ser bandido. Policial tem que ser treinado para prender e para se defender, e não para matar. É assim em todos os países desenvolvidos… Policial treinado para matar é polícia miliciana. Essa cena lamentável e inaceitável é uma cena de execução de uma pessoa já rendida, já desarmada e já sem representar qualquer perigo para os policiais. Um absurdo! O policial não pode agir como o bandido. Caso contrário, ele se transforma em um bandido igual ou pior. <br/> Você gostaria de ver esse vídeo? (Emoji Confuso)(Emoji Perseverante)
1838;Mensagem Alvo;13;2;13;0;38;13;;Imagem;;;0.0;0;;true;10/05/2021 16:03:38;10/05/2021 16:03:38;https://www.hypeness.com.br/1/2021/05/05f53c75-700.jpg
1837;Resposta Alvo;;;13;13;38;0;;Textual;;0.25;0.0;0;;true;10/05/2021 16:03:38;10/05/2021 16:03:38;Opa, tudo bem
1836;Resposta de Controle;;;;0;36;13;;Textual;;0.0;2.089;1;;true;10/05/2021 16:03:21;10/05/2021 16:03:21;Olá! Não posso responder no momento, assim que possível entro em contato.
1835;Resposta de Controle;;;;13;36;0;;Textual;;0.0;0.0;0;;true;10/05/2021 16:03:21;10/05/2021 16:03:21;#ficaemcasa
1834;Mensagem de Controle;12;5;12;0;36;13;;Textual;;0.0;2.092;1;;true;10/05/2021 16:02:27;10/05/2021 16:02:27;E aí, o que pensa a respeito?
1833;Mensagem Alvo;12;4;12;0;36;13;;Textual;;0.0;2.095;1;;true;10/05/2021 16:02:27;10/05/2021 16:02:27;A Abramge, associação que reúne empresas de planos de saúde, diz que o custo médio por paciente internado com Covid-19 em UTIs cresceu quase 40% entre abril de 2020 e março deste ano, para R$ 56 mil. <br/><br/> O motivo, segundo a entidade, é o aumento das internações de pacientes jovens, que ficam por mais tempo em terapia intensiva, além da severidade dos casos. <br/><br/> Os planos de saúde têm sido pressionados por entidades de defesa do consumidor a segurarem o aumento nos preços, mas argumentam que a inflação dos insumos usados no tratamento e a importação dos medicamentos do kit intubação, principalmente os bloqueadores neuromusculares, também fizeram o custo subir. <br/><br/> Afirma, ainda, que o tempo médio de internação variou entre 11 e 13 dias durante o período.
1832;Resposta Alvo;;;12;13;36;0;;Textual;;0.0;0.0;0;;true;10/05/2021 16:02:27;10/05/2021 16:02:27;Recebeu
1830;Resposta Alvo;;;;2;5;0;;Textual;;0.0;0.0;0;;true;10/05/2021 15:45:04;10/05/2021 15:45:04;Oxe
1829;Mensagem Alvo;14;3;;0;81;27;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:43;10/05/2021 11:35:43;Entre tiros e vírus: diário de um médico do front.
1828;Mensagem Alvo;14;2;;0;81;27;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:43;10/05/2021 11:35:43;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1827;Mensagem Alvo;14;1;;0;81;27;;Imagem;;;0.0;0;;false;10/05/2021 11:35:43;10/05/2021 11:35:43;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1826;Mensagem Alvo;14;3;;0;80;26;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:42;10/05/2021 11:35:42;Entre tiros e vírus: diário de um médico do front.
1825;Mensagem Alvo;14;2;;0;80;26;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:42;10/05/2021 11:35:42;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1824;Mensagem Alvo;14;1;;0;80;26;;Imagem;;;0.0;0;;false;10/05/2021 11:35:42;10/05/2021 11:35:42;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1823;Mensagem Alvo;14;3;;0;77;25;;Textual;;0.0;1.269;1;;true;10/05/2021 11:35:42;10/05/2021 11:35:42;Entre tiros e vírus: diário de um médico do front.
1822;Mensagem Alvo;14;2;;0;77;25;;Textual;;-0.8481;0.0;1;;true;10/05/2021 11:35:42;10/05/2021 11:35:42;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1821;Mensagem Alvo;14;1;;0;77;25;;Imagem;;;0.0;1;;true;10/05/2021 11:35:42;10/05/2021 11:35:42;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1820;Mensagem Alvo;14;3;;0;73;24;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:42;10/05/2021 11:35:42;Entre tiros e vírus: diário de um médico do front.
1819;Mensagem Alvo;14;2;;0;73;24;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1818;Mensagem Alvo;14;1;;0;73;24;;Imagem;;;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1817;Mensagem Alvo;14;3;;0;71;23;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;Entre tiros e vírus: diário de um médico do front.
1816;Mensagem Alvo;14;2;;0;71;23;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1815;Mensagem Alvo;14;1;;0;71;23;;Imagem;;;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1814;Mensagem Alvo;14;3;;0;68;22;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:41;10/05/2021 11:35:41;Entre tiros e vírus: diário de um médico do front.
1813;Mensagem Alvo;14;2;;0;68;22;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1812;Mensagem Alvo;14;1;;0;68;22;;Imagem;;;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1811;Mensagem Alvo;14;3;;0;65;21;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;Entre tiros e vírus: diário de um médico do front.
1810;Mensagem Alvo;14;2;;0;65;21;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1809;Mensagem Alvo;14;1;;0;65;21;;Imagem;;;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1808;Mensagem Alvo;14;3;;0;59;20;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;Entre tiros e vírus: diário de um médico do front.
1807;Mensagem Alvo;14;2;;0;59;20;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:40;10/05/2021 11:35:40;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1806;Mensagem Alvo;14;1;;0;59;20;;Imagem;;;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1805;Mensagem Alvo;14;3;;0;57;19;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;Entre tiros e vírus: diário de um médico do front.
1804;Mensagem Alvo;14;2;;0;57;19;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1803;Mensagem Alvo;14;1;;0;57;19;;Imagem;;;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1802;Mensagem Alvo;14;3;;0;54;18;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;Entre tiros e vírus: diário de um médico do front.
1801;Mensagem Alvo;14;2;;0;54;18;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1800;Mensagem Alvo;14;1;;0;54;18;;Imagem;;;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1799;Mensagem Alvo;14;3;;0;49;17;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:39;10/05/2021 11:35:39;Entre tiros e vírus: diário de um médico do front.
1798;Mensagem Alvo;14;2;;0;49;17;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1797;Mensagem Alvo;14;1;;0;49;17;;Imagem;;;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1796;Mensagem Alvo;14;3;;0;46;16;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;Entre tiros e vírus: diário de um médico do front.
1795;Mensagem Alvo;14;2;;0;46;16;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1794;Mensagem Alvo;14;1;;0;46;16;;Imagem;;;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1793;Mensagem Alvo;14;3;;0;44;15;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;Entre tiros e vírus: diário de um médico do front.
1792;Mensagem Alvo;14;2;;0;44;15;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:38;10/05/2021 11:35:38;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1791;Mensagem Alvo;14;1;;0;44;15;;Imagem;;;0.0;0;;false;10/05/2021 11:35:37;10/05/2021 11:35:37;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1790;Mensagem Alvo;14;3;;0;40;14;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:37;10/05/2021 11:35:37;Entre tiros e vírus: diário de um médico do front.
1789;Mensagem Alvo;14;2;;0;40;14;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:37;10/05/2021 11:35:37;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1788;Mensagem Alvo;14;1;;0;40;14;;Imagem;;;0.0;0;;false;10/05/2021 11:35:37;10/05/2021 11:35:37;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1787;Mensagem Alvo;14;3;;0;37;13;;Textual;;0.0;0.0;0;;true;10/05/2021 11:35:37;10/05/2021 11:35:37;Entre tiros e vírus: diário de um médico do front.
1786;Mensagem Alvo;14;2;;0;37;13;;Textual;;-0.8481;0.0;0;;true;10/05/2021 11:35:37;10/05/2021 11:35:37;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1785;Mensagem Alvo;14;1;;0;37;13;;Imagem;;;0.0;0;;true;10/05/2021 11:35:36;10/05/2021 11:35:36;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1784;Mensagem Alvo;14;3;;0;33;12;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;Entre tiros e vírus: diário de um médico do front.
1783;Mensagem Alvo;14;2;;0;33;12;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1782;Mensagem Alvo;14;1;;0;33;12;;Imagem;;;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1781;Mensagem Alvo;14;3;;0;31;11;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;Entre tiros e vírus: diário de um médico do front.
1780;Mensagem Alvo;14;2;;0;31;11;;Textual;;-0.8481;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;7h da manhã. A caminho do trabalho, ligo o rádio: “Operação no Jacarezinho”. Mais uma operação, e no horário de pico. Logo as notícias vêm: cinco pessoas mortas e trabalhador ferido no metrô. <br/> "Não podemos nem ir em paz para o trabalho", penso comigo. Vejo o grupo do WhatsApp do meu trabalho em Manguinhos —vizinho ao ​Jacarezinho—, e meus colegas estão desesperados. Por um acaso, hoje (6 de maio) trabalharei em outra localidade. Já há três pacientes me esperando. Peço para a primeira entrar. Ela vem de muletas, com dor e cansaço por ter subido as escadas. Piorou desde a última vez que nos vimos e pode estar com algo grave. Já tentei encaminhá-la para dois serviços diferentes. Mas, até agora, parece que não há lugar para atendê-la.
1779;Mensagem Alvo;14;1;;0;31;11;;Imagem;;;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;https://ogimg.infoglobo.com.br/in/24987594-c89-92e/FT1086A/xcovid-19-na-India.jpg.pagespeed.ic.LxCnVEtIyt.jpg
1778;Mensagem Alvo;14;3;;0;27;10;;Textual;;0.0;0.0;0;;false;10/05/2021 11:35:36;10/05/2021 11:35:36;Entre tiros e vírus: diário de um médico do front.
